certification_ref,provider,certification_name,exam_code,market_status,demand_score,obsolescence_risk,reviewed_at,valid_until,is_active,source,notes
AWS|AWS Certified AI Practitioner|AIF-C01,AWS,AWS Certified AI Practitioner,AIF-C01,STABLE,60,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
AWS|AWS Certified Data Engineer – Associate|DEA-C01,AWS,AWS Certified Data Engineer – Associate,DEA-C01,STABLE,60,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
AWS|AWS Certified Machine Learning Engineer – Associate|MLA-C01,AWS,AWS Certified Machine Learning Engineer – Associate,MLA-C01,STABLE,60,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
AWS|AWS Certified Generative AI Developer – Professional|AIP-C01,AWS,AWS Certified Generative AI Developer – Professional,AIP-C01,GROWING,90,15,2026-05-07,2026-12-31,true,Market research (internal),Recién lanzada/beta 2025; alto foco GenAI (ver research/certifications-upcoming.csv)
AWS|AWS Certified Machine Learning – Specialty|MLS-C01,AWS,AWS Certified Machine Learning – Specialty,MLS-C01,SUNSET,35,85,2026-05-07,2026-12-31,true,Vendor retirement (research),Retira 31/03/2026 (ver research/certifications-retiring.csv)
GCP|Generative AI Leader|,GCP,Generative AI Leader,,GROWING,85,20,2026-05-07,2026-12-31,true,Market research (internal),Lanzada mayo 2025; foundational no técnica (ver research/certifications.csv)
GCP|Associate Data Practitioner|,GCP,Associate Data Practitioner,,GROWING,75,25,2026-05-07,2026-12-31,true,Market research (internal),Lanzada ene 2025; foco data/analytics/ML base (ver research/certifications.csv)
GCP|Professional Data Engineer|,GCP,Professional Data Engineer,,STABLE,70,25,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
GCP|Professional Machine Learning Engineer|,GCP,Professional Machine Learning Engineer,,STABLE,70,25,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
GCP|Professional Cloud Database Engineer|,GCP,Professional Cloud Database Engineer,,STABLE,60,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Azure|Azure Data Fundamentals|DP-900,Azure,Azure Data Fundamentals,DP-900,STABLE,60,20,2026-05-07,2026-12-31,true,Default (pending review),Fundamentals (no expira) pero STABLE pendiente revisión
Azure|Azure AI Fundamentals|AI-900,Azure,Azure AI Fundamentals,AI-900,DECLINING,45,80,2026-05-07,2026-12-31,true,Vendor retirement (research),Retira Jun 2026 → AI-901 (ver research/certifications-retiring.csv)
Azure|Power BI Data Analyst Associate|PL-300,Azure,Power BI Data Analyst Associate,PL-300,STABLE,65,25,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Azure|Azure Database Administrator Associate|DP-300,Azure,Azure Database Administrator Associate,DP-300,STABLE,60,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Azure|Azure Data Scientist Associate|DP-100,Azure,Azure Data Scientist Associate,DP-100,DECLINING,50,85,2026-05-07,2026-12-31,true,Vendor retirement (research),Retira Jun 2026 (reemplazo no anunciado) (ver research/certifications-retiring.csv)
Azure|Azure AI Engineer Associate|AI-102,Azure,Azure AI Engineer Associate,AI-102,SUNSET,55,90,2026-05-07,2026-12-31,true,Vendor retirement (research),Retira Jun 2026 → AI-103 (ver research/certifications-retiring.csv)
Azure|Fabric Analytics Engineer Associate|DP-600,Azure,Fabric Analytics Engineer Associate,DP-600,GROWING,75,25,2026-05-07,2026-12-31,true,Market shift (internal),Reemplaza DP-500; parte de track Fabric (ver research/certifications-retiring.csv)
Azure|Fabric Data Engineer Associate|DP-700,Azure,Fabric Data Engineer Associate,DP-700,GROWING,80,20,2026-05-07,2026-12-31,true,Market shift (internal),Reemplaza DP-203; parte de track Fabric (ver research/certifications-retiring.csv)
Azure|Azure Cosmos DB Developer Specialty|DP-420,Azure,Azure Cosmos DB Developer Specialty,DP-420,STABLE,60,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Databricks|Databricks Certified Data Engineer Associate|,Databricks,Databricks Certified Data Engineer Associate,,STABLE,70,25,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Databricks|Databricks Certified Data Engineer Professional|,Databricks,Databricks Certified Data Engineer Professional,,STABLE,70,25,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Databricks|Databricks Certified Machine Learning Associate|,Databricks,Databricks Certified Machine Learning Associate,,STABLE,65,25,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Databricks|Databricks Certified Machine Learning Professional|,Databricks,Databricks Certified Machine Learning Professional,,STABLE,65,25,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Databricks|Databricks Certified Generative AI Engineer Associate|,Databricks,Databricks Certified Generative AI Engineer Associate,,GROWING,80,20,2026-05-07,2026-12-31,true,Market research (internal),Foco GenAI/RAG; alta demanda 2025-2026 (research/certifications.csv)
Databricks|Databricks Certified Associate Developer for Apache Spark|,Databricks,Databricks Certified Associate Developer for Apache Spark,,STABLE,60,35,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Databricks|Databricks Certified Data Analyst Associate|,Databricks,Databricks Certified Data Analyst Associate,,STABLE,60,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Databricks|Databricks Certified Platform Administrator|,Databricks,Databricks Certified Platform Administrator,,STABLE,55,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Databricks|Databricks Accredited AWS Platform Architect|,Databricks,Databricks Accredited AWS Platform Architect,,STABLE,55,30,2026-05-07,2026-12-31,true,Default (pending review),Accreditation; STABLE pendiente revisión
Databricks|Databricks Accredited Azure Platform Architect|,Databricks,Databricks Accredited Azure Platform Architect,,STABLE,55,30,2026-05-07,2026-12-31,true,Default (pending review),Accreditation; STABLE pendiente revisión
Databricks|Databricks Accredited GCP Platform Architect|,Databricks,Databricks Accredited GCP Platform Architect,,STABLE,55,30,2026-05-07,2026-12-31,true,Default (pending review),Accreditation; STABLE pendiente revisión
Snowflake|SnowPro Associate: Platform|SOL-C01,Snowflake,SnowPro Associate: Platform,SOL-C01,STABLE,60,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Snowflake|SnowPro Core|COF-C03,Snowflake,SnowPro Core,COF-C03,STABLE,65,25,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Snowflake|SnowPro Specialty: Gen AI|GES-C01,Snowflake,SnowPro Specialty: Gen AI,GES-C01,GROWING,75,25,2026-05-07,2026-12-31,true,Market research (internal),Foco GenAI con Cortex; growing 2025-2026 (research/certifications.csv)
Snowflake|SnowPro Specialty: Snowpark|SPS-C01,Snowflake,SnowPro Specialty: Snowpark,SPS-C01,STABLE,60,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Snowflake|SnowPro Specialty: Native Apps|NAS-C01,Snowflake,SnowPro Specialty: Native Apps,NAS-C01,STABLE,55,35,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Snowflake|SnowPro Advanced: Architect|ARA-C01,Snowflake,SnowPro Advanced: Architect,ARA-C01,STABLE,55,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Snowflake|SnowPro Advanced: Data Engineer|DEA-C02,Snowflake,SnowPro Advanced: Data Engineer,DEA-C02,STABLE,55,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Snowflake|SnowPro Advanced: Data Scientist|DSA-C03,Snowflake,SnowPro Advanced: Data Scientist,DSA-C03,STABLE,55,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Snowflake|SnowPro Advanced: Data Analyst|DAA-C01,Snowflake,SnowPro Advanced: Data Analyst,DAA-C01,STABLE,55,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Snowflake|SnowPro Advanced: Administrator|ADA-C02,Snowflake,SnowPro Advanced: Administrator,ADA-C02,STABLE,55,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Snowflake|SnowPro Advanced: Security Engineer|SEA-C01,Snowflake,SnowPro Advanced: Security Engineer,SEA-C01,STABLE,55,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
dbt Labs|dbt Analytics Engineering Certification|,dbt Labs,dbt Analytics Engineering Certification,,STABLE,60,25,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
NVIDIA|NVIDIA-Certified Associate – AI Infrastructure and Operations|NCA-AIIO,NVIDIA,NVIDIA-Certified Associate – AI Infrastructure and Operations,NCA-AIIO,GROWING,75,25,2026-05-07,2026-12-31,true,Market research (internal),Infra AI demand creciente; validación técnica base (research/certifications.csv)
NVIDIA|NVIDIA-Certified Associate – Generative AI with LLMs|NCA-GENL,NVIDIA,NVIDIA-Certified Associate – Generative AI with LLMs,NCA-GENL,GROWING,80,20,2026-05-07,2026-12-31,true,Market research (internal),GenAI con LLMs: growing (research/certifications.csv)
NVIDIA|NVIDIA-Certified Associate – Generative AI Multimodal|NCA-GENM,NVIDIA,NVIDIA-Certified Associate – Generative AI Multimodal,NCA-GENM,GROWING,75,25,2026-05-07,2026-12-31,true,Market research (internal),Multimodal: growing (research/certifications.csv)
NVIDIA|NVIDIA-Certified Associate – Accelerated Data Science|NCA-ADS,NVIDIA,NVIDIA-Certified Associate – Accelerated Data Science,NCA-ADS,STABLE,60,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
NVIDIA|NVIDIA-Certified Professional – AI Infrastructure|NCP-AII,NVIDIA,NVIDIA-Certified Professional – AI Infrastructure,NCP-AII,GROWING,70,25,2026-05-07,2026-12-31,true,Market research (internal),Infra AI avanzada: growing (research/certifications.csv)
NVIDIA|NVIDIA-Certified Professional – AI Operations|NCP-AIO,NVIDIA,NVIDIA-Certified Professional – AI Operations,NCP-AIO,GROWING,70,25,2026-05-07,2026-12-31,true,Market research (internal),AI Ops: growing (research/certifications.csv)
NVIDIA|NVIDIA-Certified Professional – AI Networking|NCP-AIN,NVIDIA,NVIDIA-Certified Professional – AI Networking,NCP-AIN,GROWING,65,25,2026-05-07,2026-12-31,true,Market research (internal),AI networking: growing (research/certifications.csv)
NVIDIA|NVIDIA-Certified Professional – Accelerated Data Science|NCP-ADS,NVIDIA,NVIDIA-Certified Professional – Accelerated Data Science,NCP-ADS,STABLE,60,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
NVIDIA|NVIDIA-Certified Professional – Generative AI with LLMs|NCP-GENL,NVIDIA,NVIDIA-Certified Professional – Generative AI with LLMs,NCP-GENL,GROWING,80,20,2026-05-07,2026-12-31,true,Market research (internal),GenAI pro: growing (research/certifications.csv)
NVIDIA|NVIDIA-Certified Professional – Agentic AI|NCP-AAI,NVIDIA,NVIDIA-Certified Professional – Agentic AI,NCP-AAI,GROWING,85,20,2026-05-07,2026-12-31,true,Market research (internal),Agentes/agentic: growing (research/certifications.csv)
NVIDIA|NVIDIA-Certified Professional – OpenUSD Development|NCP-OUSD,NVIDIA,NVIDIA-Certified Professional – OpenUSD Development,NCP-OUSD,STABLE,55,35,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
IBM|IBM Certified watsonx Data Scientist – Associate|C1000-177,IBM,IBM Certified watsonx Data Scientist – Associate,C1000-177,STABLE,55,35,2026-05-07,2026-12-31,true,Default (pending review),Ecosistema específico; STABLE pendiente revisión
IBM|IBM Certified watsonx Generative AI Engineer – Associate|C1000-185,IBM,IBM Certified watsonx Generative AI Engineer – Associate,C1000-185,STABLE,55,35,2026-05-07,2026-12-31,true,Default (pending review),Ecosistema específico; STABLE pendiente revisión
IBM|IBM Certified watsonx AI Assistant Engineer – Professional|C1000-180,IBM,IBM Certified watsonx AI Assistant Engineer – Professional,C1000-180,STABLE,55,35,2026-05-07,2026-12-31,true,Default (pending review),Ecosistema específico; STABLE pendiente revisión
IBM|IBM Certified Architect – Cloud Pak for Data v4.7|C1000-173,IBM,IBM Certified Architect – Cloud Pak for Data v4.7,C1000-173,STABLE,50,40,2026-05-07,2026-12-31,true,Default (pending review),Ecosistema específico; STABLE pendiente revisión
IBM|IBM Certified Specialist – AI Enterprise Workflow V1|C0004400,IBM,IBM Certified Specialist – AI Enterprise Workflow V1,C0004400,STABLE,50,40,2026-05-07,2026-12-31,true,Default (pending review),Ecosistema específico; STABLE pendiente revisión
Tableau (Salesforce)|Salesforce Certified Tableau Desktop Foundations|Analytics-101,Tableau (Salesforce),Salesforce Certified Tableau Desktop Foundations,Analytics-101,STABLE,55,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Tableau (Salesforce)|Salesforce Certified Tableau Data Analyst|Analytics-DA-201,Tableau (Salesforce),Salesforce Certified Tableau Data Analyst,Analytics-DA-201,STABLE,55,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Tableau (Salesforce)|Salesforce Certified Tableau Consultant|Analytics-Con-301,Tableau (Salesforce),Salesforce Certified Tableau Consultant,Analytics-Con-301,STABLE,55,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Tableau (Salesforce)|Salesforce Certified Tableau Architect|Analytics-Arch-201,Tableau (Salesforce),Salesforce Certified Tableau Architect,Analytics-Arch-201,STABLE,55,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Qlik|Qlik Sense Business Analyst|QSBA2024,Qlik,Qlik Sense Business Analyst,QSBA2024,STABLE,55,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Qlik|Qlik Sense Data Architect|QSDA2024,Qlik,Qlik Sense Data Architect,QSDA2024,STABLE,55,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Qlik|Qlik Sense System Administrator|QSSA2024,Qlik,Qlik Sense System Administrator,QSSA2024,STABLE,50,35,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Qlik|Qlik AI Specialist|QAIS,Qlik,Qlik AI Specialist,QAIS,STABLE,55,30,2026-05-07,2026-12-31,true,Default (pending review),GenAI en Qlik: STABLE pendiente revisión
Qlik|Qlik Talend Cloud Administrator|TCCA,Qlik,Qlik Talend Cloud Administrator,TCCA,STABLE,50,35,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Qlik|Qlik Talend Data Integration Administrator|TDICA,Qlik,Qlik Talend Data Integration Administrator,TDICA,STABLE,50,35,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Qlik|Qlik Talend Data Quality Implementer|TDQCI,Qlik,Qlik Talend Data Quality Implementer,TDQCI,STABLE,50,35,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Qlik|Qlik Talend Data Catalog Implementer|TDCCI,Qlik,Qlik Talend Data Catalog Implementer,TDCCI,STABLE,50,35,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Qlik|Qlik Talend Big Data Developer|TBDCDTS,Qlik,Qlik Talend Big Data Developer,TBDCDTS,STABLE,50,35,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Qlik|Qlik Talend Data Integration Developer|TDICDTS,Qlik,Qlik Talend Data Integration Developer,TDICDTS,STABLE,50,35,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Qlik|Qlik Replicate|QREP,Qlik,Qlik Replicate,QREP,STABLE,50,35,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Qlik|Qlik Compose|QCOM,Qlik,Qlik Compose,QCOM,STABLE,50,35,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Qlik|QlikView Business Analyst (Legacy)|QV12BA,Qlik,QlikView Business Analyst (Legacy),QV12BA,DECLINING,40,70,2026-05-07,2026-12-31,true,Legacy (internal),QlikView legacy: se mantiene pero pierde tracción (pendiente revisión)
Qlik|QlikView Data Architect (Legacy)|QV12DA,Qlik,QlikView Data Architect (Legacy),QV12DA,DECLINING,40,70,2026-05-07,2026-12-31,true,Legacy (internal),QlikView legacy: se mantiene pero pierde tracción (pendiente revisión)
Qlik|QlikView System Administrator (Legacy)|QV12SA,Qlik,QlikView System Administrator (Legacy),QV12SA,DECLINING,40,70,2026-05-07,2026-12-31,true,Legacy (internal),QlikView legacy: se mantiene pero pierde tracción (pendiente revisión)
Confluent|Confluent Fundamentals Accreditation|,Confluent,Confluent Fundamentals Accreditation,,STABLE,55,30,2026-05-07,2026-12-31,true,Default (pending review),Gratis; STABLE pendiente revisión
Confluent|Confluent Certified Developer for Apache Kafka|CCDAK,Confluent,Confluent Certified Developer for Apache Kafka,CCDAK,STABLE,60,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Confluent|Confluent Certified Administrator for Apache Kafka|CCAAK,Confluent,Confluent Certified Administrator for Apache Kafka,CCAAK,STABLE,60,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Confluent|Confluent Cloud Certified Operator|CCAC,Confluent,Confluent Cloud Certified Operator,CCAC,STABLE,60,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
MongoDB|MongoDB Associate Developer|C100DEV,MongoDB,MongoDB Associate Developer,C100DEV,STABLE,55,30,2026-05-07,2026-12-31,true,Default (pending review),Version-tied; STABLE pendiente revisión
MongoDB|MongoDB Associate Database Administrator|C100DBA,MongoDB,MongoDB Associate Database Administrator,C100DBA,STABLE,55,30,2026-05-07,2026-12-31,true,Default (pending review),Version-tied; STABLE pendiente revisión
MongoDB|MongoDB Associate Data Modeler|,MongoDB,MongoDB Associate Data Modeler,,STABLE,55,30,2026-05-07,2026-12-31,true,Default (pending review),Version-tied; STABLE pendiente revisión
MongoDB|MongoDB Associate Atlas Administrator|,MongoDB,MongoDB Associate Atlas Administrator,,STABLE,55,30,2026-05-07,2026-12-31,true,Default (pending review),Version-tied; STABLE pendiente revisión
Oracle|OCI 2025 AI Foundations Associate|1Z0-1122-25,Oracle,OCI 2025 AI Foundations Associate,1Z0-1122-25,GROWING,70,20,2026-05-07,2026-12-31,true,Market research (internal),Gratis; AI foundations + GenAI servicios OCI (research/certifications.csv)
Oracle|OCI 2025 Generative AI Professional|1Z0-1127-25,Oracle,OCI 2025 Generative AI Professional,1Z0-1127-25,GROWING,75,20,2026-05-07,2026-12-31,true,Market research (internal),GenAI professional: growing (research/certifications.csv)
Oracle|OCI 2025 Data Science Professional|1Z0-1110-25,Oracle,OCI 2025 Data Science Professional,1Z0-1110-25,STABLE,55,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Oracle|Oracle Database SQL Specialist|1Z0-071,Oracle,Oracle Database SQL Specialist,1Z0-071,STABLE,55,35,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Oracle|Oracle Autonomous Database Cloud Professional|1Z0-931-21,Oracle,Oracle Autonomous Database Cloud Professional,1Z0-931-21,STABLE,50,40,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
SAS Institute|SAS Certified Specialist: Base Programming Using SAS 9|A00-231,SAS Institute,SAS Certified Specialist: Base Programming Using SAS 9,A00-231,DECLINING,40,70,2026-05-07,2026-12-31,true,Vendor retirement (research),Hay especialidades SAS retiradas 2025; revisar track completo (research/certifications-retiring.csv)
SAS Institute|SAS Certified Specialist: Machine Learning Using SAS Viya|A00-401,SAS Institute,SAS Certified Specialist: Machine Learning Using SAS Viya,A00-401,STABLE,50,45,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
SAS Institute|SAS Certified Specialist: Forecasting and Optimization|A00-403,SAS Institute,SAS Certified Specialist: Forecasting and Optimization,A00-403,STABLE,50,45,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
SAS Institute|SAS Certified Specialist: Natural Language Processing and Computer Vision|A00-407,SAS Institute,SAS Certified Specialist: Natural Language Processing and Computer Vision,A00-407,STABLE,50,45,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
SAS Institute|SAS Certified Specialist: Statistics for Machine Learning|A00-412,SAS Institute,SAS Certified Specialist: Statistics for Machine Learning,A00-412,STABLE,50,45,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
SAS Institute|SAS Certified Professional: AI and Machine Learning|A00-401+A00-403+A00-407,SAS Institute,SAS Certified Professional: AI and Machine Learning,A00-401+A00-403+A00-407,STABLE,50,45,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
SAS Institute|SAS Certified Data Scientist|Compuesta,SAS Institute,SAS Certified Data Scientist,Compuesta,STABLE,45,50,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
DAMA International|CDMP Associate|,DAMA International,CDMP Associate,,STABLE,50,30,2026-05-07,2026-12-31,true,Default (pending review),Industria; STABLE pendiente revisión
DAMA International|CDMP Practitioner|,DAMA International,CDMP Practitioner,,STABLE,50,30,2026-05-07,2026-12-31,true,Default (pending review),Industria; STABLE pendiente revisión
DAMA International|CDMP Master|,DAMA International,CDMP Master,,STABLE,50,30,2026-05-07,2026-12-31,true,Default (pending review),Industria; STABLE pendiente revisión
DAMA International|CDMP Specialist: Data Quality|,DAMA International,CDMP Specialist: Data Quality,,STABLE,55,25,2026-05-07,2026-12-31,true,Default (pending review),Industria DQ; STABLE pendiente revisión
DAMA International|CDMP Specialist: Data Governance|,DAMA International,CDMP Specialist: Data Governance,,STABLE,55,25,2026-05-07,2026-12-31,true,Default (pending review),Industria DG; STABLE pendiente revisión
DAMA International|CDMP Specialist: Metadata Management|,DAMA International,CDMP Specialist: Metadata Management,,STABLE,55,25,2026-05-07,2026-12-31,true,Default (pending review),Industria Metadata; STABLE pendiente revisión
DAMA International|CDMP Specialist: Data Modeling & Design|,DAMA International,CDMP Specialist: Data Modeling & Design,,STABLE,55,25,2026-05-07,2026-12-31,true,Default (pending review),Industria Modeling; STABLE pendiente revisión
DAMA International|CDMP Specialist: Data Warehousing & Business Intelligence|,DAMA International,CDMP Specialist: Data Warehousing & Business Intelligence,,STABLE,55,25,2026-05-07,2026-12-31,true,Default (pending review),Industria DW/BI; STABLE pendiente revisión
DAMA International|CDMP Specialist: Reference & Master Data Management|,DAMA International,CDMP Specialist: Reference & Master Data Management,,STABLE,55,25,2026-05-07,2026-12-31,true,Default (pending review),Industria MDM; STABLE pendiente revisión
DAMA International|CDMP Specialist: Data Integration & Interoperability|,DAMA International,CDMP Specialist: Data Integration & Interoperability,,STABLE,55,25,2026-05-07,2026-12-31,true,Default (pending review),Industria Integration; STABLE pendiente revisión
Astronomer|Astronomer Certification for Apache Airflow Fundamentals (Airflow 2)|,Astronomer,Astronomer Certification for Apache Airflow Fundamentals (Airflow 2),,STABLE,55,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Astronomer|Astronomer Certification for Apache Airflow 3 Fundamentals|,Astronomer,Astronomer Certification for Apache Airflow 3 Fundamentals,,STABLE,55,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Astronomer|Astronomer Certification: DAG Authoring for Apache Airflow (Airflow 2)|,Astronomer,Astronomer Certification: DAG Authoring for Apache Airflow (Airflow 2),,STABLE,55,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
Astronomer|Astronomer Certification: DAG Authoring for Apache Airflow 3|,Astronomer,Astronomer Certification: DAG Authoring for Apache Airflow 3,,STABLE,55,30,2026-05-07,2026-12-31,true,Default (pending review),Default STABLE (pendiente revisión)
